"raw","category","bp","percent"
"bases masked:    7751351 bp ( 25.86 %)","bases masked",7751351,25.86
"Retroelements         2570      3615302 bp   12.06 %","Retroelements",3615302,12.06
"   SINEs:               17         1130 bp    0.00 %","SINEs",1130,0
"   Penelope:             0            0 bp    0.00 %","Penelope",0,0
"   LINEs:              807       443210 bp    1.48 %","LINEs",443210,1.48
"    CRE/SLACS            0            0 bp    0.00 %","CRE/SLACS",0,0
"     L2/CR1/Rex          0            0 bp    0.00 %","L2/CR1/Rex",0,0
"     R1/LOA/Jockey       0            0 bp    0.00 %","R1/LOA/Jockey",0,0
"     R2/R4/NeSL          0            0 bp    0.00 %","R2/R4/NeSL",0,0
"     RTE/Bov-B           0            0 bp    0.00 %","RTE/Bov-B",0,0
"     L1/CIN4           807       443210 bp    1.48 %","L1/CIN4",443210,1.48
"   LTR elements:      1746      3170962 bp   10.58 %","LTR elements",3170962,10.58
"     BEL/Pao             0            0 bp    0.00 %","BEL/Pao",0,0
"     Ty1/Copia         592       781986 bp    2.61 %","Ty1/Copia",781986,2.61
"     Gypsy/DIRS1      1154      2388976 bp    7.97 %","Gypsy/DIRS1",2388976,7.97
"       Retroviral        0            0 bp    0.00 %","Retroviral",0,0
"DNA transposons        531       353524 bp    1.18 %","DNA transposons",353524,1.18
"   hobo-Activator      144        29620 bp    0.10 %","hobo-Activator",29620,0.1
"   Tc1-IS630-Pogo        0            0 bp    0.00 %","Tc1-IS630-Pogo",0,0
"   En-Spm                0            0 bp    0.00 %","En-Spm",0,0
"   MULE-MuDR           222       222461 bp    0.74 %","MULE-MuDR",222461,0.74
"   PiggyBac              0            0 bp    0.00 %","PiggyBac",0,0
"   Tourist/Harbinger    52        23031 bp    0.08 %","Tourist/Harbinger",23031,0.08
"   Other (Mirage,        0            0 bp    0.00 %","Other",0,0
"Rolling-circles        558       190766 bp    0.64 %","Rolling-circles",190766,0.64
"Unclassified:        10172      3083539 bp   10.29 %","Unclassified",3083539,10.29
"Total interspersed repeats:     7052365 bp   23.53 %","Total interspersed repeats",7052365,23.53
"Small RNA:              89         9848 bp    0.03 %","Small RNA",9848,0.03
"Satellites:             30         8631 bp    0.03 %","Satellites",8631,0.03
"Simple repeats:       9608       379836 bp    1.27 %","Simple repeats",379836,1.27
"Low complexity:       2234       111035 bp    0.37 %","Low complexity",111035,0.37
